日期,9085-津,222WT-津,7042吉林-津,7042-鲁*,7042吉化-京,7042N大庆-京,7042独山子-沪,218W-沪,7420D-沪,7042扬子-南京,7042大庆-余姚,7042镇海-余姚,7042广州-粤,7042茂名-粤,7042福建-粤*,7042福建-闽,7042独山子-闽,7042-鄂,总结
2013-12-12,,11900,11860,11900,11950,11850,12150,12300,12250,12200,12200,12250,12500,12400,,,,,
2013-12-11,,12000,12050,12000,12000,12000,12150,,12250,12250,12250,12300,12450,12400,,,,,
2013-12-10,12300,12100,,12030,12050,12000,12200,,12250,,12250,12300,12550,12500,,,,12400,
2013-12-6,,12100,12100,12150,12100,,12170,12400,12300,12320,12300,12300,12600,12550,,,,12400,
2013-12-5,,12100,12200,12150,,,12170,12400,12350,12350,12300,12350,12650,12550,,,,12400,
2013-12-4,12100,12100,12050,12150,12000,,12050,12500,12300,12250,12250,12300,12550,12450,,12300,,,
2013-12-3,12100,12100,12000,12150,12100,,12050,12300,12300,12250,12300,12300,12500,12450,,,,,
2013-12-2,,12050,12000,12080,12050,12000,12050,12250,12200,12250,12200,12200,12500,12450,,,,12350,
2013-11-29,12050,12000,12050,,12050,,12000,12200,12150,12200,12050,12100,12500,12400,,,,,
2013-11-27,,11950,12050,,12000,11900,12000,12200,12100,,12000,12100,12550,12350,,,,12250,
2013-11-26,,11900,11900,,11950,11900,11900,,,,12000,12100,12400,12350,,,,12250,
2013-11-25,,11900,,11950,11900,,11900,12100,,12000,12000,12100,12350,12300,,,,,
2013-11-25,,11900,,11950,11900,,11900,12100,,12000,12000,12100,12350,12300,,,,,
2013-11-22,11900,11850,11800,12000,11850,,11850,12100,11950,11950,11950,12000,12350,12300,11680,,,,
2013-11-21,11900,11850,11800,12000,11850,,11850,12100,11950,11950,11950,12000,12350,12300,11680,,,,
2013-11-19,11900,11850,11800,11870,11800,,11850,12000,11900,11950,11950,11950,12350,12300,11680,,,,
2013-11-18,11850,11850,11750,11870,11850,11750,11850,12000,,,11900,11950,12350,12250,11700,,,,
2013-11-15,11850,11800,11750,11870,11850,11750,11850,12000,,,11900,11950,12350,12250,11700,,,,
2013-11-15,11850,11800,11750,11850,11800,11800,11800,11950,11850,,11900,11950,12400,12300,11750,,,,
2013-11-13,,11800,11750,11850,11800,11800,11800,11950,11850,,11900,11950,12400,12180,11750,,,,
2013-11-12,11850,11750,11750,11800,11700,,11800,11950,11800,11950,11950,12000,12250,12150,11650,,,,
2013-11-11,11850,11700,11650,11760,11650,,11850,11950,11800,,11900,12000,12150,12150,11580,,,12000,
2013-11-11,11850,11700,11650,11800,11650,,11800,11950,11800,11950,11900,12000,12200,12150,11550,,12150,12200,
2013-11-7,11950,11700,11700,11900,11700,,11800,12000,11850,,11950,12000,12200,12150,11480,,,12200,
2013-11-6,12050,11800,11700,11930,11700,11650,11800,12000,11850,12000,12000,12000,12200,,,,,12200,
2013-11-5,12050,11800,11800,11950,11800,11750,11850,12000,11850,12050,11950,12000,12200,,,,,11900,
2013-11-4,,11850,11800,12000,11800,11750,11900,12000,11900,12050,11900,12000,12250,12250,,12300,,,
2013-11-1,,11750,11750,11950,11750,11700,11900,11950,,12050,11800,12000,12300,12250,,12300,,,
2013-10-31,,11750,11750,11950,11800,11750,11750,11950,,,12000,11900,12350,12300,11620,,,,
2013-10-30,,11800,11700,11980,11750,11700,,11850,,,11900,11850,12300,,,,,,
2013-10-29,,11700,11650,11870,11700,11650,,11850,,11850,11700,11800,12300,12200,,,,11850,
