日期	9085-津	222WT-津	7042吉林-津	7042-鲁*	7042吉化-京	7042N大庆-京	7042独山子-沪	218W-沪	7042吉化-沪	7420D-沪	7042扬子-南京	7042大庆-余姚	7042镇海-余姚	7042广州-粤	7042茂名-粤	7042福建-粤*	7042福建-闽	7042独山子-闽	7042-鄂	总结
2015-8-6		9020	9000	8460	9000			10100	9000	9450			9150	9350	9250	8750	9320			??? 今日PE市场价格持稳为主，部分小幅调整。线性期货震荡走低，石化价格多数持稳，市场交投平淡，商家多数随行就市出货为主。下游需求跟进乏力，补仓谨慎，成交依旧困难。华北地区LLDPE价格在9000-9100元/吨，华东地区LLDPE价格在9000-9150元/吨，华南地区LLDPE价格在9250-9350元/吨。
2015-8-5		8950	9000	8380	9000			10100	9000	9450			9150	9300	9200	8750	9200			??? 今日午前PE市场价格窄幅整理，部分线性小涨50元/吨。线性期货高开震荡，但部分石化价格下调，市场交投欠佳，商家多数随行就市出货。下游需求延续疲态，适量逢低采购，成交难放量。华北地区LLDPE价格在8950-9000元/吨，华东地区LLDPE价格在9000-9150元/吨，华南地区LLDPE价格在9200-9300元/吨。
2015-8-4		8820	8900	8370	9000			10100	9000	9450			9150	9220	9150	8700	9170			??? 今日PE市场价格小幅走软，跌幅普遍在50元/吨左右。线性期货继续低开震荡，石化价格继续下调，市场交投冷清，商家心态悲观，多数积极跟跌报盘，寻求成交。下游需求跟进乏力，采购谨慎，实盘成交阻力大。华北地区LLDPE价格在8800-8900元/吨，华东地区LLDPE价格在9000-9100元/吨，华南地区LLDPE价格在9150-9300元/吨。
2015-8-3			9200	8430	9200			10100	9000	9450			9170	9350	9170	8750	9220			??? 今日午前PE市场价格小幅走低，。线性期货低开低走，石化价格有涨有跌，市场交投欠佳，观望气氛浓厚，商家随行就市积极出货为主。终端需求跟进不足，谨慎观望居多，实盘成交难放量。华北地区LLDPE价格在8800-9150元/吨，华东地区LLDPE价格在9000-9150元/吨，华南地区LLDPE价格在9200-9350元/吨。
2015-7-31		9070	9300	8500	9300			10100	9100	9500			9250	9370	9250	9770	9350			??????? 今日PE市场价格窄幅整理，部分小幅走软50元/吨。线性期货低开震荡，石化价格有涨有跌，市场交投暂稳，商家多数随行就市出货。终端需求延续疲态，采购谨慎，实盘成交阻力大。华北地区LLDPE价格在9100-9200元/吨，华东地区LLDPE价格在9100-9200元/吨，华南地区LLDPE价格在9250-9400元/吨。
2015-7-30		9170		8530				10100	9150	9500			9250	9400	9300	8900	9320			??? 今日PE市场价格稳中小涨。线性期货高开震荡，部分石化价格上调，市场交投略好转，商家随行就市出货，部分试探性小幅拉涨报价。终端需求跟进不足，谨慎观望居多，实盘成交欠佳。华北地区LLDPE价格在9100-9200元/吨，华东地区LLDPE价格在9100-9250元/吨，华南地区LLDPE价格在9300-9400元/吨。
2015-7-29		9100		8500				10100	9150	9500			9220	9370	9250	8800	9300			??? 今日PE市场价格窄幅整理，变动不大。线性期货跳空高开，部分石化价格上调，市场交投暂稳，商家随行就市出货为主。终端需求延续平淡，补仓依旧谨慎，刚需成交为主。华北地区LLDPE价格在9000-9100元/吨，华东地区LLDPE价格在9000-9200元/吨，华南地区LLDPE价格在9200-9350元/吨。
2015-7-28		8920		8500				10000	9050	9500			9220	9320	9220	8720	9200			??? 今日PE市场价格继续下滑，跌幅普遍在100-200元/吨。线性期货继续低开震荡，多数石化价格下调，市场交投冷清，商家心态悲观，积极让利出货。终端需求跟进乏力，谨慎观望为主，实盘成交阻力大。华北地区LLDPE价格在8800-9100元/吨，华东地区LLDPE价格在9000-9200元/吨，华南地区LLDPE价格在9200-9350元/吨。
2015-7-27		9170		8680				10150	9150				9350	9450	9350	8820	9400		9120	??? 今日PE市场价格小幅走低，跌幅普遍在50元/吨左右。线性期货开盘后跌停，部分石化价格下调，市场交投冷清，商家继续积极让利出货，部分封盘观望。终端需求补仓谨慎，实盘成交困难。华北地区LLDPE价格在9000-9250元/吨，华东地区LLDPE价格在9100-9350元/吨，华南地区LLDPE价格在9350-9450元/吨。
2015-7-24		9250		8750	9300			10150	9250				9370	9470	9350	8870	9450		9170	??? 今日午前PE市场价格稳中略跌。线性期货低开低走，部分石化价格继续下调，商家心态低迷，继续随行就市积极出货。终端需求跟进不足，采购谨慎，实盘成交阻力大。华北地区LLDPE价格在9100-9350元/吨，华东地区LLDPE价格在9250-9350元/吨，华南地区LLDPE价格在9350-9500元/吨。
2015-7-23		9290		8760				10200	9250				9400		9450	8920	9500		9170	??? 今日PE市场价格稳中走软。线性期货震荡小涨，但部分石化价格下调，市场交投欠佳，商家多数积极出货。下游需求延续疲态，采购积极性不高，实盘成交欠佳。华北地区LLDPE价格在9200-9350元/吨，华东地区LLDPE价格在9250-9350元/吨，华南地区LLDPE价格在9400-9500元/吨。
2015-7-22		9220		8800	9400			10200	9250		9350		9370		9450	8880	9500			??????? 今日PE市场价格部分仍显走软。期货震荡走高，但部分石化价格下调，市场交投气氛暂稳，商家继续随行就市积极出货。下游需求跟进乏力，补仓较为谨慎，刚需成交为主。华北地区LLDPE价格在9200-9300元/吨，华东地区LLDPE价格在9250-9350元/吨，华南地区LLDPE价格在9400-9500元/吨。
2015-7-21		9250						10200	9300	10000	9350		9400		9500	8950	9520			??? 今日PE市场价格仍显走软。期货延续走低，部分石化价格继续下调，市场交投气氛欠佳，商家继续随行就市积极出货。下游需求跟进不足，实盘刚需成交为主。华北地区LLDPE价格在9250-9300元/吨，华东地区LLDPE价格在9250-9350元/吨，华南地区LLDPE价格在9400-9550元/吨。
2015-7-20		9250		8800				10200	9300	10000			9420		9550	8980	9670			??? 今日午前PE市场价格稳中走低。早间期货小幅走软，部分石化价格下调，商家心态低迷，随行就市积极让利出货。下游需求延续平淡，补仓谨慎，实盘成交欠佳。华北地区LLDPE价格在9300-9400元/吨，华东地区LLDPE价格在9250-9350元/吨，华南地区LLDPE价格在9450-9650元/吨。
2015-7-17		9270		8800	9300			10200	9400	10000					9500	8970	9700			??? 今日PE市场价格稍有下滑，市场成交气氛一度清淡。早间期货表现不佳，加之下游工厂备货意向不强，市场支撑有限。华北地区LLDPE价格在9300-9400元/吨，华东地区LLDPE价格在9300-9400元/吨，华南地区LLDPE价格在9500-9650元/吨。
2015-7-16		9270		8850	9400			10200	9400	10000					9650	9050	9700			??????? 今日PE市场价格继续回落，市场成交一度清淡。昨日原油价格大幅下跌，加之期货开盘低开幅度较大，现货市场受其打压表现不佳。华北地区LLDPE价格在9300-9450元/吨，华东地区LLDPE价格在9300-9400元/吨，华南地区LLDPE价格在9500-9650元/吨。
